time,y
1,-0.3597289068234817
2,0.907344039016845
3,0.03408240256957379
4,0.7359511387507262
5,0.788222747169142
6,-0.29155952869154805
7,1.9089832917182623
8,1.279384375306047
9,0.33479093245659125
10,0.629090440507264
11,-0.5304124961223466
12,0.6215054810270028
13,0.32432654206511097
14,0.26781487691628636
15,-0.4072359521223177
16,-0.8938580820622416
17,-1.3833441820445387
18,-1.309468481396583
19,-0.5027039998633059
20,-1.150725709900484
21,0.23912476388933868
22,0.41804189830918687
23,-1.7640568879787497
24,-0.5602883340847122
25,-0.009758035096854079
26,1.5744382894790063
27,0.16899098167240068
28,-1.3844874971164485
29,-1.4217961012339957
30,-1.3471744954697995
31,-0.879217623762927
32,0.33109436320974606
33,-1.0483929895654813
34,0.5673020872857408
35,1.503694840354998
36,0.6760158049228501
37,2.062197836536313
38,1.1838072729968383
39,-0.9961253900804279
40,-1.4616190215255616
41,-1.6826651260877363
42,-0.2670280234689987
43,-0.9220653282894598
44,-1.1076955273024593
45,0.28154926286426607
46,1.8856839327209416
47,3.1179443648269474
48,3.358888784597662
49,2.000192110927694
50,2.2512960339430705
51,0.06589533158721173
52,1.0722974492997077
53,0.10655140791040202
54,0.5120768752561995
55,1.7362589617114976
56,1.7566481265106484
57,1.823692383945356
58,1.4689367253849155
59,1.4384414103693683
60,-0.09251896817841399
61,0.2558375241824636
62,0.9222928150432173
63,1.3214134595684515
64,-0.006773737092018339
65,1.1650384841946937
66,0.578312772898591
67,0.5854971854725057
68,1.0986012112086057
69,0.4541518395265388
70,0.9602809741324514
71,1.4809859033405108
72,0.8585805877971009
73,-0.23991790172686733
74,-1.9915704835778953
75,-1.9326761289640495
76,-1.6836525066423373
77,1.039261967037284
78,0.5450888347467323
79,-0.4243470173160126
80,-1.7847786481472174
