id,time,treated,post,y,x1
1,1,0,0.0,2.635684501894052,-0.36335748145177754
1,2,0,0.0,3.688203371034685,0.2517372155742292
1,3,0,0.0,2.8795130252322694,-0.31498797116895605
1,4,0,0.0,3.133802685104638,-0.31125240132442067
1,5,0,0.0,3.6008497885791964,0.8163067649323273
1,6,0,1.0,2.9831774941358558,0.47673837983187795
1,7,0,1.0,3.6579723666500557,-0.8595553820616212
1,8,0,1.0,3.223704581426843,-1.4692882055065464
1,9,0,1.0,2.2190042587544654,-2.114334831130985
1,10,0,1.0,2.845686983841487,0.04378166203061088
2,1,0,0.0,3.0769614063045427,-0.8253345499750688
2,2,0,0.0,2.3465906590285224,0.840288523245819
2,3,0,0.0,3.5770972658458606,0.4338858743048611
2,4,0,0.0,2.076957917569877,-0.3954398407537453
2,5,0,0.0,3.115937794119168,0.517130881450359
2,6,0,1.0,4.1726984523002875,1.4472238915818758
2,7,0,1.0,2.1562162213124574,-0.09307792119019635
2,8,0,1.0,3.157968565506041,-1.2725855703776923
2,9,0,1.0,4.052311482705577,-0.31074387308373413
2,10,0,1.0,3.145460727141611,-0.09658102196264856
3,1,0,0.0,2.509923359325062,-1.382810701683701
3,2,0,0.0,2.0495120951375387,-1.4624467959172898
3,3,0,0.0,2.6265909573905386,1.3009715392603625
3,4,0,0.0,3.4439689724328386,2.2662797122662086
3,5,0,0.0,3.3443640517304427,1.512392007786763
3,6,0,1.0,2.9577394824459198,0.6488490404135202
3,7,0,1.0,4.341595127760854,0.8999443097509223
3,8,0,1.0,2.803033589533982,0.2841579102153428
3,9,0,1.0,2.849188070406129,1.1035883018237678
3,10,0,1.0,3.852646425911845,0.6638827324729892
4,1,0,0.0,3.1104392218943713,0.17127065460959456
4,2,0,0.0,3.8212981549404144,1.1199182981069984
4,3,0,0.0,3.8611365615766555,1.9207540740525255
4,4,0,0.0,3.13104721714243,0.8006488606751957
4,5,0,0.0,2.646322941780048,-0.385611048520393
4,6,0,1.0,3.5127445379005544,-0.4397250817930096
4,7,0,1.0,3.9977682575682287,0.6298828493988105
4,8,0,1.0,3.2566900982267755,-0.06961219651922648
4,9,0,1.0,2.169966145376474,-0.7789119879113274
4,10,0,1.0,2.7580221745329445,-0.8787419860341007
5,1,0,0.0,3.3195707744904235,0.2440527312174788
5,2,0,0.0,3.147661132485804,0.3223729372800154
5,3,0,0.0,4.307349414428141,2.041100938637203
5,4,0,0.0,2.8042402040217076,-0.16523436268962188
5,5,0,0.0,3.5756971703005016,-0.17095944348761516
5,6,0,1.0,2.569555456773597,-0.8151152486093222
5,7,0,1.0,3.132247627631589,-0.9005453041906385
5,8,0,1.0,3.358250220037785,-0.19300716396225298
5,9,0,1.0,2.647210595719674,-0.9983741934645419
5,10,0,1.0,2.3705325087252556,-1.5410623950236277
6,1,0,0.0,2.8110758188569136,-0.6197050916331831
6,2,0,0.0,3.235437175158411,0.6357047126615359
6,3,0,0.0,3.1505967608585483,-0.47862281061920225
6,4,0,0.0,3.2465796045090025,0.9946956727381081
6,5,0,0.0,3.2399170377977393,0.3303352285550901
6,6,0,1.0,3.3414084257158776,0.377489040241215
6,7,0,1.0,2.511298871910637,-1.733183409760652
6,8,0,1.0,2.973468154083423,-0.9073709325741889
6,9,0,1.0,3.979500165906156,1.3110173557334994
6,10,0,1.0,3.1371282974754,0.02395114244885036
7,1,0,0.0,3.629897491238611,1.2252970583943696
7,2,0,0.0,3.2813723517484914,1.304371943276669
7,3,0,0.0,2.4413016168200676,-0.4400172451059574
7,4,0,0.0,2.661257364221666,-1.7799429142766356
7,5,0,0.0,2.9275492996515373,0.9583480063101281
7,6,0,1.0,3.498223783547955,-1.1732524189956186
7,7,0,1.0,3.979626765894868,0.5415424548443852
7,8,0,1.0,3.5572098158318752,-2.1251254523790672
7,9,0,1.0,3.0689450417729534,-0.49101459568950384
7,10,0,1.0,2.604910214542146,-0.5443474742221707
8,1,0,0.0,3.03422556303328,-1.0510344212689204
8,2,0,0.0,2.820781439431542,1.1979596698125403
8,3,0,0.0,3.152521049239927,0.9300043221624539
8,4,0,0.0,2.5490250533312633,-0.032029723276023235
8,5,0,0.0,2.5756796890461535,-0.8915781866049347
8,6,0,1.0,2.7732975804502864,0.9147784914448018
8,7,0,1.0,3.295144240647666,-1.59561428445693
8,8,0,1.0,3.8137835130400983,-0.454048384037065
8,9,0,1.0,3.000605633828519,0.04495140479081785
8,10,0,1.0,2.5241519563770014,-0.7922834268552733
9,1,0,0.0,3.6440047640635673,0.3732453333416736
9,2,0,0.0,2.8444787658186694,-1.4046570107964054
9,3,0,0.0,1.7031848584585003,-1.2347689825091572
9,4,0,0.0,0.9724747905083406,-0.12530686450201148
9,5,0,0.0,2.5907965921246094,-0.78565682978007
9,6,0,1.0,3.5134231681548536,-0.4080986981389409
9,7,0,1.0,2.3762609865177575,-1.7267994802981395
9,8,0,1.0,3.586553210976657,0.5570765697275968
9,9,0,1.0,2.8602864114129862,-0.3914536476104827
9,10,0,1.0,2.9832512284613038,-0.250762503705424
10,1,0,0.0,3.5504629058859294,1.0218390547808818
10,2,0,0.0,3.1247240946495882,-0.000939762193643709
10,3,0,0.0,3.1190331947946897,-1.5007761311216228
10,4,0,0.0,2.562519549018589,0.26292474430434837
10,5,0,0.0,3.1357799644829223,-1.0611177539602412
10,6,0,1.0,4.0855286974875735,1.0364206513956815
10,7,0,1.0,4.23547504820783,0.7234646890415947
10,8,0,1.0,3.938799284146792,0.8541604336744864
10,9,0,1.0,3.0364043847667124,0.3682069358154837
10,10,0,1.0,3.9928361698282884,-0.04656094092083756
11,1,1,0.0,4.4308559507612255,1.7081843190508057
11,2,1,0.0,2.7120004297968494,-1.0310474066155366
11,3,1,0.0,3.8173358230045236,-0.14441362324311863
11,4,1,0.0,3.2349952922356295,-1.6269181269443471
11,5,1,0.0,3.6734880831450227,-0.06217490931366065
11,6,1,1.0,3.6779084875028136,0.21439234093920106
11,7,1,1.0,5.583544288777594,1.5294442502878554
11,8,1,1.0,4.532032461080669,0.27437291327913876
11,9,1,1.0,4.418308058701984,1.729077927144221
